year,neighborhood,sale_price_sqr_foot,housing_units,gross_rent
2015,Union Square District,2258.702831998355,382295,3739
2016,Presidio Heights,1465.9685863874345,384242,4390
2016,Merced Heights,1416.666666666667,384242,4390
2013,Union Square District,1290.472106646641,378401,2971
2014,Miraloma Park,1267.7662026328826,380348,3528
2016,Parnassus/Ashbury Heights,1207.997484708169,384242,4390
2016,Outer Richmond ,1196.645436923929,384242,4390
2015,Marina,1132.8373605554546,382295,3739
2014,South of Market,1119.8388773148026,380348,3528
2015,Corona Heights,1100.7911936704506,382295,3739
